,Security Code,Security Id,Security Name,dayHigh,dayLow,52weekHigh,52weekLow
264,532343,TVSMOTOR,TVS MOTOR COMPANY LTD.,443.20,424.50,524.80,340.30
244,532175,CYIENT,Cyient Limited,446.40,430.15,692.30,380.00
82,500403,SUNDRMFAST,SUNDRAM FASTENERS LTD.,451.60,445.45,593.45,400.00
439,540596,ERIS,Eris Lifesciences Ltd,454.50,430.50,661.95,357.80
157,507880,VIPIND,V.I.P.INDUSTRIES LTD.-$,467.40,448.75,519.90,342.00
143,505533,WESTLIFE,WESTLIFE DEVELOPMENT LTD.,469.25,448.00,499.90,257.20
102,500547,BPCL,BHARAT PETROLEUM CORPORATION LTD.,472.35,456.50,549.70,308.55
428,540133,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,475.00,466.00,537.50,299.75
310,532706,INOXLEISUR,INOX LEISURE LTD.,476.40,459.75,486.00,249.25
286,532514,IGL,INDRAPRASTHA GAS LTD.,479.80,462.00,534.40,277.00
152,506655,SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LTD.,480.50,456.75,505.95,302.00
315,532733,SUNTV,SUN TV NETWORK LTD.,480.90,464.55,649.40,389.40
97,500493,BHARATFORG,BHARAT FORGE LTD.,484.85,473.20,547.90,378.00
150,506401,DEEPAKNI,DEEPAK NITRITE LTD.-$,491.55,432.00,491.55,212.45
450,540762,TIINDIA,Tube Investments of India Ltd,498.50,481.05,549.00,325.00
458,541179,ISEC,ICICI Securities Ltd,498.55,471.20,498.60,191.00
435,540425,SHANKARA,Shankara Building Products Ltd,502.00,488.05,583.00,240.00
290,532531,STAR,Strides Pharma Science Ltd,502.40,483.20,547.35,288.00
216,524804,AUROPHARMA,AUROBINDO PHARMA LTD.,502.80,482.50,838.00,389.70
60,500271,MFSL,Max Financial Services Ltd,505.50,486.65,567.90,370.00
392,535648,JUSTDIAL,JUST DIAL LTD.,505.85,480.50,824.85,464.00
20,500096,DABUR,DABUR INDIA LTD.,506.85,496.20,523.20,357.10
166,511196,CANFINHOME,CAN FIN HOMES LTD.,512.70,504.35,519.00,240.40
224,530019,JUBILANT,JUBILANT LIFE SCIENCES LIMITED,513.80,489.15,898.00,392.30
387,534804,CARERATING,CARE Ratings Ltd,514.65,485.05,1019.00,444.50
40,500165,KANSAINER,KANSAI NEROLAC PAINTS LTD.,514.80,498.85,573.00,372.00
373,533273,OBEROIRLTY,OBEROI REALTY LTD.,519.50,500.50,641.70,451.00
100,500520,M&M,MAHINDRA & MAHINDRA LTD.,524.85,514.30,703.80,502.70
190,517569,KEI,KEI INDUSTRIES LTD.,532.30,528.50,614.70,306.00
94,500480,CUMMINSIND,CUMMINS INDIA LTD.,536.45,523.65,799.50,498.05
50,500233,KAJARIACER,KAJARIA CERAMICS LTD.,539.00,525.55,648.85,442.75
447,540743,GODREJAGRO,Godrej Agrovet Ltd,540.65,523.70,597.95,421.70
140,504973,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,542.00,504.60,568.20,421.50
243,532174,ICICIBANK,ICICI BANK LTD.,543.15,536.15,552.40,337.20
231,531344,CONCOR,CONTAINER CORPORATION OF INDIA LTD.,550.05,532.10,665.05,460.00
129,500940,FINOLEXIND,FINOLEX INDUSTRIES LTD.,559.10,548.00,635.00,440.00
154,506943,JBCHEPHARM,J.B.CHEMICALS & PHARMACEUTICALS LTD.,561.45,516.45,599.00,307.00
465,541700,TCNSBRANDS,TCNS Clothing Co. Ltd,564.90,555.20,865.20,547.20
454,540777,HDFCLIFE,HDFC Life Insurance Company Ltd,565.10,556.10,646.40,346.15
271,532454,BHARTIARTL,BHARTI AIRTEL LTD.,568.60,537.65,568.60,275.58
159,509480,BERGEPAINT,BERGER PAINTS INDIA LTD.,580.05,570.25,597.45,284.40
9,500040,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,586.00,568.00,657.00,322.85
71,500330,RAYMOND,RAYMOND LTD.,586.50,570.40,868.80,533.10
420,539978,QUESS,Quess Corp Ltd,589.05,572.95,819.85,386.85
171,512070,UPL,UPL Limited,590.30,574.10,709.25,498.05
441,540673,SIS,Security and Intelligence Services (India) Ltd,592.00,544.00,592.00,351.20
179,513434,TATAMETALI,TATA METALIKS LTD.,595.60,571.05,704.10,480.85
174,512573,AVANTI,AVANTI FEEDS LTD.-$,598.15,562.20,769.90,253.00
187,517354,HAVELLS,HAVELLS INDIA LTD.,603.45,589.25,806.90,586.00
256,532281,HCLTECH,HCL TECHNOLOGIES LTD.,615.65,605.00,624.00,497.00
349,532927,ECLERX,ECLERX SERVICES LTD.,623.20,598.80,1179.00,381.05
149,506395,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,627.00,604.40,643.95,336.50
235,531531,HATSUN,HATSUN AGRO PRODUCT LTD.,629.00,611.90,774.90,547.30
269,532424,GODREJCP,GODREJ CONSUMER PRODUCTS LTD.,634.80,613.25,771.75,577.00
415,539871,THYROCARE,Thyrocare Technologies Ltd,635.00,612.00,689.45,406.65
342,532889,KPRMILL,K.P.R. Mill Limited,636.30,622.30,714.20,521.05
146,506076,GRINDWELL,GRINDWELL NORTON LTD.-$,648.00,615.10,699.00,510.00
381,533573,APLLTD,ALEMBIC PHARMACEUTICALS LTD.,649.65,637.45,666.00,435.10
217,524816,NATCOPHARM,NATCO PHARMA LTD.,669.75,635.00,737.80,482.00
15,500084,CESC,CESC LTD.,689.00,673.30,854.90,642.10
105,500575,VOLTAS,VOLTAS LTD.,700.70,684.65,731.05,516.25
56,500257,LUPIN,LUPIN LTD.,711.40,694.20,882.15,646.20
367,533179,PERSISTENT,PERSISTENT SYSTEMS LTD.,713.10,697.50,739.90,472.25
457,541154,HAL,Hindustan Aeronautics Ltd,723.80,699.65,896.35,603.25
233,531500,RAJESHEXPO,RAJESH EXPORTS LTD.,726.00,706.00,802.00,555.00
66,500300,GRASIM,GRASIM INDUSTRIES LTD.,736.00,715.10,958.55,635.60
251,532215,AXISBANK,AXIS BANK LTD.,737.60,724.65,826.55,622.60
142,505355,NESCO,NESCO LTD.,745.00,713.30,816.90,420.00
73,500335,BIRLACORPN,BIRLA CORPORATION LTD.,749.00,738.75,807.60,440.50
397,538567,GULFOILLUB,Gulf Oil Lubricants India Ltd,755.45,742.65,909.00,674.90
117,500770,TATACHEM,TATA CHEMICALS LTD.,756.55,743.20,779.30,543.60
53,500251,TRENT,TRENT LTD.,764.00,716.00,782.55,320.00
205,523457,LINDEINDIA,Linde India Limited,779.95,755.00,791.30,420.00
1,500008,AMARAJABAT,AMARA RAJA BATTERIES LTD.,780.00,757.15,814.00,572.60
260,532309,GEPIL,GE Power India Ltd,781.20,760.05,933.00,657.00
344,532892,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LTD.,785.40,750.10,903.50,480.40
57,500260,RAMCOCEM,The Ramco Cements Limited,790.00,777.00,883.30,593.20
47,500209,INFY,INFOSYS LTD.,798.90,783.30,847.40,615.00
431,540180,VBL,Varun Beverages Ltd,820.00,780.65,869.95,510.26
225,530517,RELAXO,RELAXO FOOTWEARS LTD.-$,826.70,810.90,830.15,343.50
317,532755,TECHM,TECH MAHINDRA LTD.,840.00,827.45,846.00,607.90
14,500067,BLUESTARCO,BLUE STAR LTD.,848.00,818.00,887.00,560.30
136,503100,PHOENIXLTD,The Phoenix Mills Ltd,858.00,847.05,912.65,564.30
10,500042,BASF,BASF INDIA LTD.,866.90,834.00,1495.00,834.00
98,500495,ESCORTS,ESCORTS LTD.,896.50,872.65,896.50,423.30
377,533398,MUTHOOTFIN,MUTHOOT FINANCE LTD.,898.00,846.40,898.00,515.00
12,500048,BEML,BEML LTD.,915.00,871.95,1108.20,644.00
446,540719,SBILIFE,SBI Life Insurance Company Ltd,921.00,907.10,1030.00,510.00
218,526299,MPHASIS,MPHASIS LTD.,921.00,886.65,1059.50,828.15
131,501301,TATAINVEST,TATA INVESTMENT CORPORATION LTD.,938.00,916.70,1025.00,745.05
85,500411,THERMAX,THERMAX LTD.,981.10,949.90,1180.00,928.70
211,524200,VINATIORGA,VINATI ORGANICS LTD.-$,985.50,960.00,1255.50,695.00
83,500408,TATAELXSI,TATA ELXSI LTD.,991.65,936.00,1098.75,593.00
328,532819,MINDTREE,MINDTREE LTD.,1000.00,982.10,1000.00,652.50
212,524208,AARTIIND,AARTI INDUSTRIES LTD.,1009.50,956.80,1042.75,637.76
162,509631,HEG,HEG LTD.,1010.15,966.50,2302.20,833.75
135,502986,VTL,VARDHMAN TEXTILES LTD.,1032.00,1021.85,1154.00,849.20
196,522113,TIMKEN,TIMKEN INDIA LTD.,1048.55,1000.50,1070.00,508.70
429,540153,ENDURANCE,Endurance Technologies Ltd,1057.55,1029.50,1380.00,743.05
128,500878,CEATLTD,CEAT LTD.,1063.00,998.15,1178.00,731.00
132,501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,1130.90,1107.00,1384.00,740.25
363,533150,GODREJPROP,Godrej Properties Ltd,1135.40,1097.80,1188.00,687.00
